Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description
Machine Learning Engineer,H2O.ai,https://www.linkedin.com/company/h2oai?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-h2o-ai-3843589788?position=2&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=6BMBIu6EdgsQ%2B5M4OtYbXg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,16,
Machine Learning Engineer,Mathspace,https://au.linkedin.com/company/mathspace?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-mathspace-3840626218?position=3&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=Ny937j6zv%2B4q%2BzniBZJ8Dg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,17,
Machine Learning (ML) Engineer,Unison Consulting,https://www.linkedin.com/company/unison-consulting-pte-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-ml-engineer-at-unison-consulting-3899574709?position=4&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=dc210tjOGSQ6VQ6XyM6PjA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,18,
Machine Learning / AI Engineer,Zone IT Solutions,https://au.linkedin.com/company/zoneitsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Perth, Western Australia, Australia",https://au.linkedin.com/jobs/view/machine-learning-ai-engineer-at-zone-it-solutions-3863212885?position=5&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=tCeeJoSwz6ZguPSeoYuuYA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,19,
AI Engineer,Relevance AI,https://au.linkedin.com/company/relevanceai?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Surry Hills, New South Wales, Australia",https://au.linkedin.com/jobs/view/ai-engineer-at-relevance-ai-3855424750?position=6&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=YRwXavjS%2BPnrysI7OufQhg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,20,
Machine Learning Engineer Intern - ANZ,Canva,https://au.linkedin.com/company/canva?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-intern-anz-at-canva-3859979688?position=7&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=ouDc3%2BOz1kkwXh46%2FgZJMA%3D%3D&trk=public_jobs_jserp-result_search-card,Internship,,4/21/2024,21,
AI Research Engineer,Relume,https://au.linkedin.com/company/relume?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/ai-research-engineer-at-relume-3885134109?position=8&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=dY8To1vQhpKMy93DSxSF9A%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,22,
Full Stack Engineer,Haast,https://www.haast.io/,Competitive,"Sydney, multiple",Message Liam King on Slack or apply here: https://www.linkedin.com/jobs/view/3804178804/,,liam@haast.io,4/21/2024,4,"Haast, is a dynamic AI-led regtech start-up shaking up the marketing compliance world. We’re building the first end-to-end compliance platform to help legal, compliance and marketing professionals find and solve issues before they become a problem. Using the latest in AI and ML, we analyse multimodal data sources (web, social media, images, video) to enable issue detection and remediation in seconds. Haast is already integral in keeping a range of organisations compliant, reducing risk and unlocking a vast amount of productivity gains. 



We are seeking an experienced Fullstack Engineer to join our innovative team. We are looking for a tech enthusiast who thrives in a fast-paced environment and is passionate about developing scalable and efficient software solutions.


Key Responsibilities:

Develop and maintain the Haast web platform (built in Flask and Svelte)
Collaborate with cross-functional teams to define, design, and ship new features.
Manage and mentor junior developers
Report development progress to founders
Ensure the performance, quality, and responsiveness of applications.
Identify and fix bugs; continuously improve performance including identifying and correcting bottlenecks
Help maintain code quality, organisation, and automatisation.
Maintain and upgrade CI/CD pipeline




Essential Skills & Experience:

3+ years of experience in fullstack development.
Proficiency in Python, and JavaScript.
Strong experience in large data collection, AI, and data visualisation.
Familiar with various design and architectural patterns.
Experience with database technologies (PostgresSQL).
Experience with search technologies
Ability to develop with UX in at the front of mind
Knowledge of code versioning tools (such as Git).


Desirable:
Proficiency in Flask and Svelte
Experience in a start-up environment.
Familiarity with cloud platforms (AWS, Azure, GCP).
Interest in machine learning
Experience with Apache Airflow
Experience with GitHub Actions


Benefits:

Competitive salary package plus Employee Stock Option Plan (ESOP).
Flexible working hours and work-from-home options.
Continuous learning and development opportunities.
Dynamic and supportive work environment.


How to Apply:

Please send your resume and a cover letter outlining your experience and why you would be a great fit for this role to liam@haast.io


Applications should discuss projects and link to code repositories where possible.


We thank all applicants for their interest, however, only those candidates selected for interviews will be contacted.


Sydney preferred, all of Australia considered"
Python engineer,Mutinex,https://mutinex.co/,-,Multiple,Message Henry on Slack,,henry@mutinex.co,4/21/2024,3,
Machine Learning Engineer,Workforce Australia for Individuals,https://www.linkedin.com/company/workforceaustraliaforindividuals?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-workforce-australia-for-individuals-3882875166?position=9&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=xKiq5dpAw5aEdcxhCm%2B5cQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,23,
Machine Learning Engineer,IT Alliance Australia,https://au.linkedin.com/company/it-alliance-aus?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Australian Capital Territory, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-it-alliance-australia-3903530726?position=10&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=gAS7Y9ywctdB8aP8IkwayQ%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,24,
"Machine Learning Engineer, Feature
  Systems",Cash App,https://www.linkedin.com/company/cash-app?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-feature-systems-at-cash-app-3864793401?position=1&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=ZZK8jUcGG1SNGpur467gSg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,25,
Senior Machine Learning Engineer,Atticus,https://au.linkedin.com/company/atticustech?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-atticus-3903721546?position=2&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=VYP7TuMX5Se0HG0%2BkwyxVg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,26,
"Expression of Interest: Artificial
  Intelligence Developer",Fingerprint for Success (F4S),https://au.linkedin.com/company/fingerprint-for-success?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-developer-at-fingerprint-for-success-f4s-3852912529?position=3&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=fawatIT4zuEcaY%2B7Vo6EyQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,27,
Machine Learning Engineer,Black Nova Group,https://au.linkedin.com/company/black-nova-group?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-black-nova-group-3870882362?position=5&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=9tDchxBck2AvCna7v4e4xg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,28,
Machine Learning Developers,Rising Sun Pictures,https://au.linkedin.com/company/rising-sun-pictures?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/machine-learning-developers-at-rising-sun-pictures-3886463508?position=6&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=fYu9brkaMbdLao3gBVz%2B5g%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,29,
Machine Learning Developers,Rising Sun Pictures,https://au.linkedin.com/company/rising-sun-pictures?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/machine-learning-developers-at-rising-sun-pictures-3882396857?position=7&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=ONtXvwQStZwxtqpINLvIkA%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,30,
"Junior Software Engineer, IgniteTech
  (Remote) - $60,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/junior-software-engineer-ignitetech-remote-%2460-000-year-usd-at-crossover-3901743137?position=8&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=k3YVvoBMUF1jd26tCfPQ1Q%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,31,
Senior Machine Learning Engineer,Rokt,https://www.linkedin.com/company/rokt?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Millers Point, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-rokt-3887690789?position=10&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=xotEuXqD0JnP8IngfgIAeQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,32,
"Backend Engineer, AI Powered: Custom
  Models",GitLab,https://www.linkedin.com/company/gitlab-com?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/backend-engineer-ai-powered-custom-models-at-gitlab-3819463536?position=1&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=IykLgjpp3K88mQuGydgVwg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,33,
AI Engineer,Braintrust,https://www.linkedin.com/company/usebraintrust?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/ai-engineer-at-braintrust-3903501264?position=4&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=fOZLI2xV8V2aLEF3nqW3Tw%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,34,
Machine Learning Engineer,Mantel Group,https://au.linkedin.com/company/mantel-group?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-mantel-group-3871753254?position=5&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=RsEcNEaOuZntAveyTrd%2BNw%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,35,
Gen AI Engineer,Temple & Webster,https://au.linkedin.com/company/temple-&-webster?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/gen-ai-engineer-at-temple-webster-3881012968?position=7&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=y2kYLMgSjpVHqW8wsWgynQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,36,
AI/ML and MLOps Field Engineer,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/ai-ml-and-mlops-field-engineer-at-canonical-3881285920?position=10&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=AX8uFTyKPjoLErtDtHaN%2BA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,37,
Full Stack Engineer (Gen AI),Bain & Company,https://www.linkedin.com/company/bain-and-company?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/full-stack-engineer-gen-ai-at-bain-company-3870576655?position=2&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=FCb8wrjUSkjG%2FsqUAUAHsQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,38,
"Incubation Engineer, AI",GitLab,https://www.linkedin.com/company/gitlab-com?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/incubation-engineer-ai-at-gitlab-3861712774?position=3&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=NhgCvMQ8cAls0n9rhCmCpA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,39,
"
  
  Full-Stack Developer/ AI Prompt Programmer for Conversational AI Platform",ExpertEase AI,-,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/full-stack-developer-ai-prompt-programmer-for-conversational-ai-platform-3900953591?position=4&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=7SVZY5brFgZSC7MmNfsCbw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,40,
"Expression of Interest: Senior Machine
  Learning Engineer",Fingerprint for Success (F4S),https://au.linkedin.com/company/fingerprint-for-success?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/expression-of-interest-senior-machine-learning-engineer-at-fingerprint-for-success-f4s-3858761930?position=6&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=j9hOX0FVjaVDirGvYm1XKw%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,41,
Machine Learning Engineer,Infinite Consulting,https://au.linkedin.com/company/infinite-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Canberra, Australian Capital Territory, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-infinite-consulting-3891276500?position=7&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=6o%2FkI2l3w0cTK0fILdL1Qw%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,42,
"Graduate Machine Learning Engineer (Trust
  & Safety) - 2024 Start (Australia)",TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/graduate-machine-learning-engineer-trust-safety-2024-start-australia-at-tiktok-3689980661?position=8&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=NSk1II1%2BFx19B8%2Bfey0nsQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,43,
"Staff Machine Learning Engineer -
  Assistant",Canva,https://au.linkedin.com/company/canva?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/staff-machine-learning-engineer-assistant-at-canva-3765106735?position=9&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=OzSrIZ8zYZJr9BV8KP6lSA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,44,
"Senior Python Engineer - Generative AI
  Product",Opus Recruitment Solutions,https://uk.linkedin.com/company/opus-recruitment-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-python-engineer-generative-ai-product-at-opus-recruitment-solutions-3889972878?position=10&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=eLFRBdRGZTUmSsI2JCRE5Q%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,45,
"Software Development Engineer, Skyvera
  (Remote) - $60,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/software-development-engineer-skyvera-remote-%2460-000-year-usd-at-crossover-3901733823?position=1&pageNum=10&refId=%2Fmegg6YqJVXCiqjOcyqrzw%3D%3D&trackingId=K3XzzKriz0A%2FbOWs3bfWng%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,46,
"Software Engineer (AI-Powered
  Development), Trilogy (Remote) - $200,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/software-engineer-ai-powered-development-trilogy-remote-%24200-000-year-usd-at-crossover-3901741032?position=2&pageNum=10&refId=%2Fmegg6YqJVXCiqjOcyqrzw%3D%3D&trackingId=syyGIDlZn49TDw6aPmsEoA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,47,
Software Engineer II,Five9,https://www.linkedin.com/company/five9?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/software-engineer-ii-at-five9-3846781025?position=6&pageNum=10&refId=%2Fmegg6YqJVXCiqjOcyqrzw%3D%3D&trackingId=CwmrhwDtArUuoHG4alaooA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,48,
Senior Engineer (AI),Hudson,https://au.linkedin.com/company/hudson?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Brisbane, Queensland, Australia",https://au.linkedin.com/jobs/view/senior-engineer-ai-at-hudson-3883855375?position=4&pageNum=12&refId=onX3qTcfTosGpf55vXVbdw%3D%3D&trackingId=Y9lNAZWYKzcGvjbof0%2BGUA%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,49,
"Machine Learning Engineer - Trust and
  Safety, NLP (Australia)",TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-trust-and-safety-nlp-australia-at-tiktok-3811306160?position=8&pageNum=12&refId=onX3qTcfTosGpf55vXVbdw%3D%3D&trackingId=DVeB2Bt0notfdIMHgKXYWg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,50,
Senior/Staff/Principal Software Engineer,Relume,https://au.linkedin.com/company/relume?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-staff-principal-software-engineer-at-relume-3839598089?position=2&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=YIfrcxgHotVNNYU3fTcpQQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,51,
Machine Learning – Staff Engineer,Agoda,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/machine-learning-%E2%80%93-staff-engineer-at-agoda-3886625639?position=7&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=tq4ok4jZS%2BFrLgD1MCyhIw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,52,
"Senior Software Engineer, Skyvera
  (Remote) - $60,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-software-engineer-skyvera-remote-%2460-000-year-usd-at-crossover-3901739287?position=9&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=RI2EfPXgBCBIyM7nQ1aeiQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,53,
"Senior/Staff/Principal Full Stack
  Software Engineer",Relume,https://au.linkedin.com/company/relume?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-staff-principal-full-stack-software-engineer-at-relume-3889976534?position=10&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=4F48zPUiMn9VLN34svtCzw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,54,
"Senior Machine Learning Engineer -
  Content Enrichment",Canva,https://au.linkedin.com/company/canva?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-content-enrichment-at-canva-3832651028?position=1&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=xMqhGq6tNbcUxcAMd7p2Dg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,55,
"Principal Machine Learning System
  Engineer",Atlassian,https://au.linkedin.com/company/atlassian?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/principal-machine-learning-system-engineer-at-atlassian-3831561150?position=3&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=QW12Sjj1sVRLSIAmWzpuZg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,56,
"Machine Learning – Staff Engineer
  (Bangkok based, relocation provided)",Agoda,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-%E2%80%93-staff-engineer-bangkok-based-relocation-provided-at-agoda-3878969928?position=4&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=TmUPXh3NrdI2pEZGNN1gqw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,57,
Senior Machine Learning Engineer,oOh!,https://au.linkedin.com/company/ooh-media?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Millers Point, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-ooh%21-3879764016?position=6&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=QqNBZ%2BbU3noY8TRGmTLksQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,58,
Senior Software Engineer,Lookahead,https://au.linkedin.com/company/lookahead-search?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/senior-software-engineer-at-lookahead-3898757842?position=10&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=1w5KepU63sRVYZ2ltIV9kg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,59,
"Lead Data Scientist/Machine Learning
  Engineer (Singapore-based, relocation provided)",Agoda,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/lead-data-scientist-machine-learning-engineer-singapore-based-relocation-provided-at-agoda-3839797381?position=8&pageNum=22&refId=kXduYh40VZ0ijAHhQ2Er3g%3D%3D&trackingId=8GFR7kyRFRfdaDg4m63kpQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,60,
"AI Audio Codec Algorithm and
  Standardization Engineer",TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/ai-audio-codec-algorithm-and-standardization-engineer-at-tiktok-3849615264?position=9&pageNum=22&refId=kXduYh40VZ0ijAHhQ2Er3g%3D%3D&trackingId=xJfQsQAogIHi2svrS%2F9R2w%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,61,
AI Solutions Engineer,Relevance AI,www.relevanceai.com,Above market rate,"Sydney, Australia",https://www.linkedin.com/jobs/search/?currentJobId=3883691385&f_C=36167121&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3883691385%2C3855424750%2C3880455562%2C3906939245,Full-time,annie@relevanceai.com,,62,
