Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description,Job_Description
AI Research Engineer,Relume,https://au.linkedin.com/company/relume?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/ai-research-engineer-at-relume-3885134109?position=8&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=dY8To1vQhpKMy93DSxSF9A%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,22,,"Here is a job description for the AI Research Engineer role at Relume in Sydney, NSW, Australia:

**Job Title:** AI Research Engineer
**Company:** Relume
**Location:** Sydney, New South Wales, Australia
**Salary:** Competitive salary package (negotiable)

**Job Summary:**

Relume is seeking a highly skilled and motivated AI Research Engineer to join our team in Sydney. As an AI Research Engineer, you will be responsible for designing, developing, and implementing innovative AI and machine learning solutions to drive business growth and improve customer experiences. You will work closely with our data science team to develop and deploy AI models that drive business value.

**Responsibilities:**

* Design and develop AI and machine learning models, including neural networks, deep learning models, and traditional machine learning algorithms
* Collaborate with data scientists and engineers to develop and deploy AI models that drive business value
* Conduct research and experimentation to improve AI model performance and scalability
* Develop and maintain large-scale AI models and datasets
* Work with cross-functional teams to integrate AI solutions into existing products and services
* Stay up-to-date with the latest advancements in AI and machine learning, and apply this knowledge to improve our AI capabilities

**Requirements:**

* **Experience:** 3+ years of experience in AI research, machine learning, or a related field
* **Education:** Bachelor's or Master's degree in Computer Science, Electrical Engineering, Mathematics, or a related field
* **Skills:**
	+ Proficiency in programming languages such as Python, Java, or C++
	+ Experience with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn
	+ Knowledge of deep learning architectures and neural networks
	+ Familiarity with cloud-based infrastructure such as AWS, Azure, or GCP
	+ Strong understanding of data structures, algorithms, and software design patterns
	+ Excellent problem-solving skills and attention to detail
	+ Strong communication and collaboration skills

**Nice to Have:**

* Experience with computer vision, natural language processing, or reinforcement learning
* Knowledge of data visualization tools such as Matplotlib, Seaborn, or Plotly
* Familiarity with agile development methodologies and version control systems such as Git

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Flexible working hours and remote work options
* Recognition and rewards for outstanding performance

If you are a motivated and innovative AI Research Engineer looking to make a real impact, please submit your application, including your resume and a cover letter outlining your experience and qualifications."
Full Stack Engineer,Haast,https://www.haast.io/,Competitive,"Sydney, multiple",Message Liam King on Slack or apply here: https://www.linkedin.com/jobs/view/3804178804/,,liam@haast.io,4/21/2024,4,"Haast, is a dynamic AI-led regtech start-up shaking up the marketing compliance world. We’re building the first end-to-end compliance platform to help legal, compliance and marketing professionals find and solve issues before they become a problem. Using the latest in AI and ML, we analyse multimodal data sources (web, social media, images, video) to enable issue detection and remediation in seconds. Haast is already integral in keeping a range of organisations compliant, reducing risk and unlocking a vast amount of productivity gains. 



We are seeking an experienced Fullstack Engineer to join our innovative team. We are looking for a tech enthusiast who thrives in a fast-paced environment and is passionate about developing scalable and efficient software solutions.


Key Responsibilities:

Develop and maintain the Haast web platform (built in Flask and Svelte)
Collaborate with cross-functional teams to define, design, and ship new features.
Manage and mentor junior developers
Report development progress to founders
Ensure the performance, quality, and responsiveness of applications.
Identify and fix bugs; continuously improve performance including identifying and correcting bottlenecks
Help maintain code quality, organisation, and automatisation.
Maintain and upgrade CI/CD pipeline




Essential Skills & Experience:

3+ years of experience in fullstack development.
Proficiency in Python, and JavaScript.
Strong experience in large data collection, AI, and data visualisation.
Familiar with various design and architectural patterns.
Experience with database technologies (PostgresSQL).
Experience with search technologies
Ability to develop with UX in at the front of mind
Knowledge of code versioning tools (such as Git).


Desirable:
Proficiency in Flask and Svelte
Experience in a start-up environment.
Familiarity with cloud platforms (AWS, Azure, GCP).
Interest in machine learning
Experience with Apache Airflow
Experience with GitHub Actions


Benefits:

Competitive salary package plus Employee Stock Option Plan (ESOP).
Flexible working hours and work-from-home options.
Continuous learning and development opportunities.
Dynamic and supportive work environment.


How to Apply:

Please send your resume and a cover letter outlining your experience and why you would be a great fit for this role to liam@haast.io


Applications should discuss projects and link to code repositories where possible.


We thank all applicants for their interest, however, only those candidates selected for interviews will be contacted.


Sydney preferred, all of Australia considered","Here is a job description for a Full Stack Engineer at Haast in Sydney:

**Job Title:** Full Stack Engineer

**Company:** Haast

**Location:** Sydney (Multiple locations)

**Salary:** Competitive

**Job Type:** Full-time

**About Us:**
Haast is a fast-paced and innovative company that is changing the way we approach [industry/field]. We're a team of passionate and talented individuals who are dedicated to delivering exceptional results.

**Job Summary:**
We're seeking an experienced Full Stack Engineer to join our team in Sydney. As a Full Stack Engineer at Haast, you will be responsible for designing, developing, and deploying high-quality web applications that meet the needs of our customers. You will work closely with our product and design teams to understand requirements, design and implement new features, and ensure seamless integration with our existing infrastructure.

**Responsibilities:**

* Design, develop, test, and deploy high-quality web applications using modern technologies such as React, Node.js, and MongoDB
* Collaborate with cross-functional teams to identify and prioritize project requirements
* Develop and maintain technical documentation to ensure knowledge sharing and knowledge management
* Troubleshoot and resolve technical issues in a timely and efficient manner
* Participate in code reviews and contribute to the improvement of the overall code quality
* Stay up-to-date with industry trends and emerging technologies to continuously improve our technology stack

**Requirements:**

* 3+ years of experience in full-stack development with proficiency in JavaScript, HTML/CSS, and relevant frameworks and libraries
* Strong understanding of front-end development with React, and back-end development with Node.js
* Experience with database management systems such as MongoDB
* Proficiency in version control systems such as Git
* Excellent problem-solving skills and attention to detail
* Strong communication and collaboration skills
* Bachelor's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker
* Knowledge of cloud platforms such as AWS or Azure
* Familiarity with Agile development methodologies
* Participation in open-source projects or personal coding projects

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible working hours and remote work options
* Access to the latest technologies and tools
* Recognition and rewards for outstanding performance

If you're a motivated and talented Full Stack Engineer looking for a new challenge, we'd love to hear from you! Please submit your resume and a cover letter outlining your experience and qualifications."
Python engineer,Mutinex,https://mutinex.co/,-,Multiple,Message Henry on Slack,,henry@mutinex.co,4/21/2024,3,,"Here is a job description for a Python Engineer at Mutinex:

**Job Title:** Python Engineer
**Company:** Mutinex
**Salary Range:** Competitive salary and benefits package (commensurate with experience)
**Location:** Multiple locations (Remote/On-site)

**About Us:**

Mutinex is a cutting-edge technology company that specializes in developing innovative solutions for various industries. We're a dynamic team of innovators, thinkers, and problem solvers who are passionate about building innovative products that make a real impact.

**Job Summary:**

We're seeking an experienced Python Engineer to join our team of talented engineers. As a Python Engineer at Mutinex, you will be responsible for designing, developing, testing, and deploying scalable and efficient software applications using Python. You will work closely with our cross-functional team to identify and prioritize project requirements, develop prototypes, and implement new features and functionality.

**Responsibilities:**

* Design, develop, test, and deploy scalable and efficient software applications using Python
* Collaborate with team members to identify and prioritize project requirements
* Develop prototypes and implement new features and functionality
* Ensure high-quality code that meets our coding standards
* Participate in code reviews and contribute to the improvement of the codebase
* Troubleshoot and debug issues in the application
* Stay up-to-date with industry trends and emerging technologies

**Requirements:**

* **Experience:** 3+ years of hands-on experience with Python development
* **Skills:**
	+ Strong proficiency in Python 3.x
	+ Experience with Python frameworks such as Django, Flask, or Pyramid
	+ Knowledge of relational databases such as MySQL, PostgreSQL, or SQLite
	+ Experience with NoSQL databases such as MongoDB or Cassandra
	+ Familiarity with containerization using Docker
	+ Strong understanding of software development principles, patterns, and best practices
	+ Experience with Agile development methodologies
	+ Strong problem-solving skills and attention to detail
	+ Excellent communication and teamwork skills
* **Preferred Qualifications:**
	+ Experience with cloud platforms such as AWS, Azure, or Google Cloud
	+ Knowledge of machine learning and data science concepts
	+ Familiarity with CI/CD pipelines and automation tools such as Jenkins or Travis CI
	+ Experience with testing frameworks such as Pytest or Unittest

**What We Offer:**

* Competitive salary and benefits package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Flexible work arrangements (remote/on-site)
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance

If you're a motivated and talented Python Engineer looking for a new challenge, we want to hear from you! Please submit your resume and a cover letter explaining why you'd be a great fit for this role."
Machine Learning Engineer,Workforce Australia for Individuals,https://www.linkedin.com/company/workforceaustraliaforindividuals?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-workforce-australia-for-individuals-3882875166?position=9&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=xKiq5dpAw5aEdcxhCm%2B5cQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,23,,"Here is a job description for the role:

**Job Title:** Machine Learning Engineer
**Company:** Workforce Australia for Individuals
**Location:** Sydney, New South Wales, Australia
**Salary Range:** AU$120,000 - AU$180,000 per annum, depending on experience

**Job Summary:**

We are seeking an experienced Machine Learning Engineer to join our team at Workforce Australia for Individuals in Sydney. As a Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models that drive business value. You will work closely with our data science and engineering teams to develop and implement scalable machine learning solutions that can be integrated into our products and services.

**Responsibilities:**

* Design, develop, and deploy machine learning models that meet business requirements
* Collaborate with cross-functional teams to identify business problems and develop data-driven solutions
* Develop and maintain large-scale machine learning models using Python, TensorFlow, PyTorch, or other deep learning frameworks
* Work with large datasets to develop and train machine learning models
* Develop and implement data processing pipelines to support machine learning model development
* Conduct experiments and analyze results to improve model performance
* Deploy and maintain machine learning models in cloud-based environments such as AWS or GCP
* Collaborate with data scientists to develop and implement new machine learning algorithms
* Stay up-to-date with industry trends and advancements in machine learning and deep learning

**Requirements:**

* 3+ years of experience in machine learning engineering or a related field
* Strong programming skills in Python, with experience in machine learning frameworks such as TensorFlow, PyTorch, or Scikit-Learn
* Experience with cloud-based technologies such as AWS or GCP
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and deep learning
* Experience with data processing and pipeline development using tools such as Apache Beam, Apache Spark, or Apache Flink
* Strong analytical and problem-solving skills, with experience in data analysis and visualization
* Excellent communication and collaboration skills, with experience working in an agile environment
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Experience with automated testing and CI/CD pipelines
* Knowledge of data governance and data security best practices
* Experience with agile project management methodologies such as Scrum or Kanban

If you are a motivated and experienced machine learning engineer looking to join a dynamic team, we encourage you to apply for this exciting opportunity!"
Machine Learning Engineer,IT Alliance Australia,https://au.linkedin.com/company/it-alliance-aus?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Australian Capital Territory, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-it-alliance-australia-3903530726?position=10&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=gAS7Y9ywctdB8aP8IkwayQ%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,24,,"Here is a job description for a Machine Learning Engineer at IT Alliance Australia:

**Job Title:** Machine Learning Engineer
**Company:** IT Alliance Australia
**Location:** Australian Capital Territory, Australia
**Salary Range:** Competitive salary package (dependent on experience)

**Job Description:**

IT Alliance Australia is seeking an experienced and talented Machine Learning Engineer to join our team in the Australian Capital Territory. As a Machine Learning Engineer, you will be responsible for designing, developing, and deploying scalable machine learning models that drive business value. You will work closely with cross-functional teams to identify opportunities to apply machine learning and AI to solve complex business problems.

**Responsibilities:**

* Design, develop, and deploy machine learning models using popular frameworks such as TensorFlow, PyTorch, or Scikit-learn.
* Collaborate with data scientists to preprocess and prepare data for model training.
* Work with data engineers to design and implement data pipelines for model deployment.
* Develop and maintain large-scale machine learning models that meet business requirements.
* Optimize and fine-tune machine learning models for performance, scalability, and accuracy.
* Stay up-to-date with the latest advancements in machine learning and AI, and apply this knowledge to improve our models and solutions.

**Requirements:**

* **Experience:** 3+ years of experience in machine learning engineering, data science, or a related field.
* **Education:** Bachelor's degree in Computer Science, Engineering, or a related field.
* **Skills:**
	+ Proficiency in machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn.
	+ Strong understanding of machine learning concepts, including supervised and unsupervised learning, deep learning, and neural networks.
	+ Experience with programming languages such as Python, Java, or C++.
	+ Knowledge of data preprocessing, feature engineering, and data visualization techniques.
	+ Experience with cloud-based platforms such as AWS, Azure, or GCP.
	+ Excellent problem-solving skills and attention to detail.
	+ Strong communication and collaboration skills.

**Nice to Have:**

* Experience with containerization using Docker and orchestration using Kubernetes.
* Knowledge of agile development methodologies and version control systems such as Git.
* Familiarity with DevOps practices and continuous integration/continuous deployment (CI/CD) pipelines.

If you're a motivated and talented machine learning engineer looking for a new challenge, we encourage you to apply for this exciting opportunity to join our team at IT Alliance Australia!"
"Machine Learning Engineer, Feature
  Systems",Cash App,https://www.linkedin.com/company/cash-app?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-feature-systems-at-cash-app-3864793401?position=1&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=ZZK8jUcGG1SNGpur467gSg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,25,,"Here is a job description for the role:

**Job Title:** Machine Learning Engineer, Feature Systems

**Company:** Cash App

**Location:** Melbourne, Victoria, Australia

**Salary Range:** Competitive salary and equity package

**Job Summary:**

We are seeking an experienced Machine Learning Engineer to join our Feature Systems team at Cash App in Melbourne, Victoria. As a Machine Learning Engineer, you will be responsible for building and deploying machine learning models that drive business value and improve customer experience. You will work closely with cross-functional teams to design, develop, and deploy scalable machine learning solutions that power our feature systems.

**Responsibilities:**

* Design, develop, and deploy machine learning models that drive business value and improve customer experience
* Collaborate with data scientists, product managers, and engineers to identify opportunities to leverage machine learning to drive business growth
* Develop and maintain scalable, efficient, and reliable machine learning models and pipelines
* Work with large datasets to train and evaluate machine learning models
* Stay up-to-date with the latest developments in machine learning and deep learning, and apply this knowledge to improve our feature systems
* Collaborate with our data engineering team to design and implement scalable data pipelines and architectures
* Work closely with our product teams to integrate machine learning models into our products and features

**Requirements:**

* 4+ years of experience in machine learning engineering, with a strong background in machine learning and software development
* Strong proficiency in Python, TensorFlow, PyTorch, or similar machine learning frameworks
* Experience with cloud-based machine learning platforms such as AWS SageMaker, Google Cloud AI Platform, or Azure Machine Learning
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and deep learning
* Experience with data preprocessing, feature engineering, and data visualization
* Strong software engineering skills, with experience in designing and implementing scalable and efficient software systems
* Excellent communication and collaboration skills, with experience working in cross-functional teams
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Experience with data warehousing and big data technologies such as Hive, Spark, and Presto
* Knowledge of Agile development methodologies and version control systems such as Git
* Certification in machine learning or related field

**What We Offer:**

* Competitive salary and equity package
* Opportunity to work on challenging and impactful projects that drive business growth
* Collaborative and dynamic work environment
* Professional development opportunities, including training and conference attendance
* Flexible working hours and remote work options
* Access to cutting-edge technologies and tools
* Comprehensive benefits package, including health insurance and retirement planning

If you are a motivated and experienced machine learning engineer looking to make a meaningful impact, we encourage you to apply!"
Senior Machine Learning Engineer,Atticus,https://au.linkedin.com/company/atticustech?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-atticus-3903721546?position=2&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=VYP7TuMX5Se0HG0%2BkwyxVg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,26,,"Here is a job description for a Senior Machine Learning Engineer at Atticus in Melbourne, Victoria, Australia:

**Job Title:** Senior Machine Learning Engineer
**Company:** Atticus
**Location:** Melbourne, Victoria, Australia
**Salary Range:** Competitive salary package ( Negotiable depending on experience)

**Job Description:**

We are seeking an experienced and skilled Senior Machine Learning Engineer to join our innovative team at Atticus in Melbourne. As a Senior Machine Learning Engineer, you will be responsible for designing, developing, and deploying scalable machine learning models that drive business value. You will work closely with our data science team to develop and implement predictive models, natural language processing, and computer vision solutions that solve complex business problems.

**Responsibilities:**

* Design, develop, and deploy machine learning models using popular frameworks such as TensorFlow, PyTorch, or Scikit-learn
* Collaborate with data scientists to develop and implement predictive models, NLP, and computer vision solutions
* Work with large datasets to develop and train machine learning models, ensuring high accuracy and scalability
* Implement model serving infrastructure to deploy models in a production-ready environment
* Collaborate with cross-functional teams to integrate machine learning models into existing applications and systems
* Develop and maintain technical documentation for machine learning models and infrastructure
* Stay up-to-date with industry trends and advancements in machine learning and deep learning

**Requirements:**

* 5+ years of experience in machine learning engineering, with a strong background in machine learning, deep learning, and software engineering
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* Expertise in machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn
* Strong programming skills in Python, with experience with languages such as Java, C++, or R
* Experience with cloud-based technologies such as AWS, GCP, or Azure
* Strong understanding of data structures, algorithms, and software design patterns
* Excellent communication and collaboration skills, with experience working in Agile environments
* Strong problem-solving skills, with the ability to work independently and as part of a team

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Knowledge of DevOps practices and CI/CD pipelines
* Familiarity with big data technologies such as Hadoop, Spark, or NoSQL databases
* Experience with natural language processing, computer vision, or recommender systems

If you are a motivated and experienced machine learning engineer looking to join a dynamic team, we encourage you to apply!"
"Expression of Interest: Artificial
  Intelligence Developer",Fingerprint for Success (F4S),https://au.linkedin.com/company/fingerprint-for-success?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-developer-at-fingerprint-for-success-f4s-3852912529?position=3&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=fawatIT4zuEcaY%2B7Vo6EyQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,27,,"Here is a job description for the Artificial Intelligence Developer role at Fingerprint for Success (F4S) in Australia:

**Job Title:** Artificial Intelligence Developer (Expression of Interest)

**Company:** Fingerprint for Success (F4S)

**Location:** Australia

**Salary Range:** Competitive salary package (to be discussed)

**Job Type:** Full-time

**About Us:**
Fingerprint for Success (F4S) is a pioneering company that leverages AI and machine learning to revolutionize the way we understand human behavior and talent development. We are seeking an exceptional Artificial Intelligence Developer to join our innovative team in Australia.

**Job Summary:**
As an Artificial Intelligence Developer at F4S, you will play a crucial role in designing and developing cutting-edge AI solutions that drive business growth and customer success. You will collaborate with cross-functional teams to architect, build, and deploy AI-powered products that transform the talent development landscape.

**Responsibilities:**

* Design and develop AI models, algorithms, and systems that integrate with existing products and services
* Collaborate with data scientists to develop and refine AI models, ensuring high accuracy and efficiency
* Work closely with software engineers to integrate AI solutions with existing software applications
* Participate in the development of new AI-powered products and features
* Develop and maintain technical documentation and knowledge base
* Stay up-to-date with industry trends and emerging AI technologies

**Requirements:**

* Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field
* 3+ years of experience in AI development, with a focus on machine learning, deep learning, or natural language processing
* Proficiency in programming languages such as Python, Java, or C++
* Experience with AI frameworks and libraries such as TensorFlow, PyTorch, or Scikit-Learn
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and reinforcement learning
* Excellent problem-solving skills, with the ability to work independently and collaboratively
* Strong communication and documentation skills

**Nice to Have:**

* Experience with cloud-based AI platforms such as Google Cloud AI Platform, Amazon SageMaker, or Microsoft Azure Machine Learning
* Knowledge of data visualization tools such as Tableau, Power BI, or D3.js
* Familiarity with DevOps practices and tools such as Docker, Kubernetes, and Jenkins

**What We Offer:**

* Competitive salary package
* Opportunities for professional growth and development in a cutting-edge AI company
* Collaborative and dynamic work environment
* Flexible working arrangements and remote work options
* Access to cutting-edge AI technologies and training resources

**How to Apply:**
If you are passionate about AI and eager to join a trailblazing company, please submit your resume and a cover letter outlining your experience, skills, and motivation for the role. We look forward to hearing from you!"
Machine Learning Engineer,Black Nova Group,https://au.linkedin.com/company/black-nova-group?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-black-nova-group-3870882362?position=5&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=9tDchxBck2AvCna7v4e4xg%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,28,,"Here is a job description for the Machine Learning Engineer role at Black Nova Group:

**Job Title:** Machine Learning Engineer

**Company:** Black Nova Group

**Location:** Sydney, New South Wales, Australia

**Salary:** Competitive salary package (negotiable based on experience)

**Job Summary:**

We are seeking an experienced and skilled Machine Learning Engineer to join our team at Black Nova Group in Sydney. As a Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models and algorithms to drive business growth and improve our products. You will work closely with our data scientists, engineers, and product teams to deliver innovative solutions that leverage machine learning and artificial intelligence.

**Responsibilities:**

* Design, develop, and deploy machine learning models and algorithms to solve complex business problems
* Collaborate with data scientists to develop and implement predictive models and algorithms
* Work with engineering teams to integrate machine learning models into our products and services
* Develop and maintain large-scale machine learning systems and workflows
* Optimize existing machine learning models for performance, scalability, and reliability
* Stay up-to-date with industry trends and advancements in machine learning and AI

**Requirements:**

* **Experience:** 4+ years of experience in machine learning engineering or a related field
* **Education:** Bachelor's degree in Computer Science, Engineering, or a related field; Master's or Ph.D. in Machine Learning or a related field is preferred
* **Skills:**
	+ Proficiency in programming languages such as Python, Java, or C++
	+ Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-Learn
	+ Knowledge of deep learning architectures such as CNNs, RNNs, and LSTMs
	+ Familiarity with data preprocessing, feature engineering, and model evaluation techniques
	+ Experience with cloud-based machine learning platforms such as AWS SageMaker, Google Cloud AI Platform, or Azure Machine Learning
	+ Strong understanding of software development principles and agile development methodologies
* **Soft Skills:**
	+ Strong communication and collaboration skills
	+ Ability to work in a fast-paced environment and meet deadlines
	+ Strong problem-solving skills and attention to detail

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Flexible working hours and remote work options
* Comprehensive benefits package, including health insurance and paid time off

If you are a motivated and talented Machine Learning Engineer looking for a new challenge, please submit your application, including your resume and a cover letter outlining your experience and qualifications."
Machine Learning Developers,Rising Sun Pictures,https://au.linkedin.com/company/rising-sun-pictures?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/machine-learning-developers-at-rising-sun-pictures-3886463508?position=6&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=fYu9brkaMbdLao3gBVz%2B5g%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,29,,"Here is a job description for a Machine Learning Developer at Rising Sun Pictures in Adelaide, South Australia, Australia:

**Job Title: Machine Learning Developer**

**Company: Rising Sun Pictures**

**Location: Adelaide, South Australia, Australia**

**Salary Range: Competitive salary package (negotiable)**

**Job Type: Full-time**

**About Us:**

Rising Sun Pictures is a globally recognized visual effects company, dedicated to creating stunning visuals for the film and television industry. We are seeking a highly skilled Machine Learning Developer to join our team in Adelaide, South Australia.

**Job Summary:**

We are looking for an experienced Machine Learning Developer to join our research and development team. As a Machine Learning Developer at Rising Sun Pictures, you will be responsible for designing, developing, and deploying machine learning models and algorithms to improve our visual effects pipelines. You will collaborate with our VFX artists and software developers to integrate machine learning solutions into our production workflows.

**Responsibilities:**

* Design and develop machine learning models and algorithms to improve VFX workflows
* Collaborate with VFX artists and software developers to integrate machine learning solutions into production pipelines
* Develop and maintain open-source machine learning frameworks and libraries
* Optimize machine learning models for performance and scalability
* Develop and implement automated testing and validation processes for machine learning models
* Stay up-to-date with the latest advancements in machine learning and deep learning

**Requirements:**

* 3+ years of experience in machine learning development
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* Strong programming skills in Python, TensorFlow, PyTorch, or similar machine learning frameworks
* Experience with deep learning frameworks such as Keras, TensorFlow, or PyTorch
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and reinforcement learning
* Experience with data preprocessing, feature engineering, and data visualization
* Strong problem-solving skills and attention to detail
* Excellent communication and collaboration skills

**Nice to Have:**

* Experience with computer vision, natural language processing, or robotics
* Knowledge of Docker, Kubernetes, or other containerization technologies
* Experience with Agile development methodologies
* Familiarity with cloud-based machine learning services such as AWS SageMaker or Google Cloud AI Platform

**What We Offer:**

* Competitive salary package
* Opportunities to work on high-profile film and television projects
* Collaborative and dynamic work environment
* Ongoing training and professional development opportunities
* Flexible working hours and remote work options
* Access to the latest machine learning tools and technologies

If you are a motivated and experienced machine learning professional looking to join a world-class visual effects company, please submit your application, including your resume and a cover letter, to [insert contact information]."
Machine Learning Developers,Rising Sun Pictures,https://au.linkedin.com/company/rising-sun-pictures?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/machine-learning-developers-at-rising-sun-pictures-3882396857?position=7&pageNum=2&refId=7Xx2bJBFV9Lj9yLGULHvOg%3D%3D&trackingId=ONtXvwQStZwxtqpINLvIkA%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,30,,"**Job Title: Machine Learning Developer**

**Company: Rising Sun Pictures**

**Location: Adelaide, South Australia, Australia**

**Salary Range: Competitive salary package (dependent on experience)**

**Job Summary:**

We are seeking an exceptional Machine Learning Developer to join our team at Rising Sun Pictures in Adelaide, South Australia. As a Machine Learning Developer, you will be responsible for designing, developing, and deploying machine learning models that drive innovation and growth for our company. You will work closely with our data scientists, engineers, and product teams to build and integrate machine learning solutions that improve our products and services.

**Responsibilities:**

* Design, develop, and deploy machine learning models using Python, TensorFlow, PyTorch, or other relevant frameworks
* Collaborate with data scientists to develop and refine machine learning models, ensuring high accuracy and performance
* Work with engineering teams to integrate machine learning models into our products and services
* Develop and maintain data pipelines to ensure data quality and integrity
* Analyze and visualize data to identify trends and opportunities for improvement
* Stay up-to-date with the latest machine learning techniques and tools, applying this knowledge to improve our solutions
* Participate in code reviews and contribute to the improvement of the overall codebase

**Requirements:**

* 3+ years of experience in machine learning development, with a strong portfolio of projects
* Bachelor's or Master's degree in Computer Science, Machine Learning, or a related field
* Proficiency in Python, with experience in machine learning frameworks such as TensorFlow, PyTorch, or Keras
* Experience with data preprocessing, feature engineering, and model evaluation techniques
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and deep learning
* Experience with data visualization tools such as Matplotlib, Seaborn, or Plotly
* Strong problem-solving skills, with the ability to work independently and collaboratively as part of a team
* Excellent communication skills, with the ability to explain complex technical concepts to non-technical stakeholders

**Nice to Have:**

* Experience with cloud-based machine learning platforms such as AWS SageMaker, Google Cloud AI Platform, or Azure Machine Learning
* Knowledge of containerization using Docker and Kubernetes
* Familiarity with Agile development methodologies and version control systems such as Git
* Experience with data engineering tools such as Apache Spark, Hadoop, or Apache Flink

If you're passionate about machine learning and want to join a dynamic team of innovators, we'd love to hear from you!"
